അ
ആ
ഇ
ഉ
ഋ
എ
ഒ
ക
ഖ
ഘ
ഗ
ങ
ച
ഛ
ജ
ഞ
ട
ഠ
ഡ
ഢ
ണ
ത
ഥ
ദ
ധ
ന
പ
ഫ
ബ
ഭ
യ
